gameId;strategy;wins;losses
136;CallingRulesWithUctMonteCarloStrategy;1292;1108
137;CallingRulesWithRandomPlay;1108;1292
137;CallingRulesWithUctMonteCarloStrategy;1292;1108
138;CallingRulesWithRandomPlay;1124;1308
138;CallingRulesWithUctMonteCarloStrategy;1308;1124
139;CallingRulesWithRandomPlay;1124;1308
139;CallingRulesWithUctMonteCarloStrategy;1308;1124
140;CallingRulesWithRandomPlay;1124;1308
140;CallingRulesWithUctMonteCarloStrategy;1308;1124
141;CallingRulesWithRandomPlay;1124;1308
141;CallingRulesWithUctMonteCarloStrategy;1308;1124
142;CallingRulesWithRandomPlay;1138;1326
142;CallingRulesWithUctMonteCarloStrategy;1326;1138
143;CallingRulesWithRandomPlay;1151;1345
143;CallingRulesWithUctMonteCarloStrategy;1345;1151
144;CallingRulesWithRandomPlay;1167;1361
144;CallingRulesWithUctMonteCarloStrategy;1361;1167
145;CallingRulesWithRandomPlay;1182;1378
145;CallingRulesWithUctMonteCarloStrategy;1378;1182
146;CallingRulesWithRandomPlay;1196;1396
146;CallingRulesWithUctMonteCarloStrategy;1396;1196
147;CallingRulesWithRandomPlay;1196;1396
147;CallingRulesWithUctMonteCarloStrategy;1396;1196
148;CallingRulesWithRandomPlay;1196;1396
148;CallingRulesWithUctMonteCarloStrategy;1396;1196
149;CallingRulesWithRandomPlay;1212;1412
149;CallingRulesWithUctMonteCarloStrategy;1412;1212
150;CallingRulesWithRandomPlay;1224;1432
150;CallingRulesWithUctMonteCarloStrategy;1432;1224
151;CallingRulesWithRandomPlay;1224;1432
151;CallingRulesWithUctMonteCarloStrategy;1432;1224
152;CallingRulesWithRandomPlay;1224;1432
152;CallingRulesWithUctMonteCarloStrategy;1432;1224
153;CallingRulesWithRandomPlay;1240;1448
153;CallingRulesWithUctMonteCarloStrategy;1448;1240
154;CallingRulesWithRandomPlay;1240;1448
154;CallingRulesWithUctMonteCarloStrategy;1448;1240
155;CallingRulesWithRandomPlay;1240;1448
155;CallingRulesWithUctMonteCarloStrategy;1448;1240
156;CallingRulesWithRandomPlay;1240;1448
156;CallingRulesWithUctMonteCarloStrategy;1448;1240
157;CallingRulesWithRandomPlay;1253;1467
157;CallingRulesWithUctMonteCarloStrategy;1467;1253
158;CallingRulesWithRandomPlay;1269;1483
158;CallingRulesWithUctMonteCarloStrategy;1483;1269
159;CallingRulesWithRandomPlay;1285;1499
159;CallingRulesWithUctMonteCarloStrategy;1499;1285
160;CallingRulesWithRandomPlay;1285;1499
160;CallingRulesWithUctMonteCarloStrategy;1499;1285
161;CallingRulesWithRandomPlay;1301;1515
161;CallingRulesWithUctMonteCarloStrategy;1515;1301
162;CallingRulesWithRandomPlay;1301;1515
162;CallingRulesWithUctMonteCarloStrategy;1515;1301
163;CallingRulesWithRandomPlay;1315;1533
