gameId;withRuleTotal;withRuleWins;withRuleLosses;withoutRuleTotal;withoutRuleWins;withoutRuleLosses;rule
10000;59728;16797;42931;59704;16161;43543;not(hasSinglePlayableCard),not(isStartPosition),not(partnerHasRound),not(hasWinningCards),not(isTrumpRound),not(hasLowValueBlankCard),not(canDiscardCalledColor),not(partnerMayBeAbleTrump),not(hasOnlyTrumpCards)
10000;2831;1501;1330;2828;1439;1389;not(hasSinglePlayableCard),not(isStartPosition),not(partnerHasRound),not(hasWinningCards),not(isTrumpRound),not(hasLowValueBlankCard),not(canDiscardCalledColor),partnerMayBeAbleTrump
10000;90819;55503;35316;90699;52707;37992;not(hasSinglePlayableCard),not(isStartPosition),partnerHasRound
10000;60420;34780;25640;60536;33462;27074;not(hasSinglePlayableCard),not(isStartPosition),partnerHasRound,not(roundIsProbablySafe)
10000;39185;22176;17009;39204;21694;17510;not(hasSinglePlayableCard),not(isStartPosition),partnerHasRound,not(roundIsProbablySafe),mustFollowSuit
10000;28315;19609;8706;28290;19281;9009;not(hasSinglePlayableCard),not(isStartPosition),partnerHasRound,not(roundIsProbablySafe),mustFollowSuit,isTrumpRound
10000;18199;14169;4030;18214;13971;4243;not(hasSinglePlayableCard),not(isStartPosition),partnerHasRound,not(roundIsProbablySafe),mustFollowSuit,isTrumpRound,highestTrumpMayBeOvertrumped
10000;17287;13383;3904;17261;13217;4044;not(hasSinglePlayableCard),not(isStartPosition),partnerHasRound,not(roundIsProbablySafe),mustFollowSuit,isTrumpRound,highestTrumpMayBeOvertrumped,not(roundIsExpensive)
10000;7668;6176;1492;7670;6095;1575;not(hasSinglePlayableCard),not(isStartPosition),partnerHasRound,not(roundIsProbablySafe),mustFollowSuit,isTrumpRound,highestTrumpMayBeOvertrumped,not(roundIsExpensive),hasGoodWinningCards
10000;10628;8210;2418;10630;8088;2542;not(hasSinglePlayableCard),not(isStartPosition),partnerHasRound,not(roundIsProbablySafe),mustFollowSuit,isTrumpRound,highestTrumpMayBeOvertrumped,not(roundIsExpensive),not(hasGoodWinningCards)
10000;1029;901;128;1029;897;132;not(hasSinglePlayableCard),not(isStartPosition),partnerHasRound,not(roundIsProbablySafe),mustFollowSuit,isTrumpRound,highestTrumpMayBeOvertrumped,roundIsExpensive
10000;11449;6701;4748;11442;6597;4845;not(hasSinglePlayableCard),not(isStartPosition),partnerHasRound,not(roundIsProbablySafe),mustFollowSuit,isTrumpRound,not(highestTrumpMayBeOvertrumped)
10000;15216;4170;11046;15218;4057;11161;not(hasSinglePlayableCard),not(isStartPosition),partnerHasRound,not(roundIsProbablySafe),mustFollowSuit,not(isTrumpRound)
10000;10058;2332;7726;10057;2204;7853;not(hasSinglePlayableCard),not(isStartPosition),partnerHasRound,not(roundIsProbablySafe),mustFollowSuit,not(isTrumpRound),hasWinningCards
10000;4006;959;3047;4004;946;3058;not(hasSinglePlayableCard),not(isStartPosition),partnerHasRound,not(roundIsProbablySafe),mustFollowSuit,not(isTrumpRound),hasWinningCards,aceIsProbablySafeToPlay
10000;6491;1414;5077;6492;1287;5205;not(hasSinglePlayableCard),not(isStartPosition),partnerHasRound,not(roundIsProbablySafe),mustFollowSuit,not(isTrumpRound),hasWinningCards,not(aceIsProbablySafeToPlay)
10000;5790;1955;3835;5792;1924;3868;not(hasSinglePlayableCard),not(isStartPosition),partnerHasRound,not(roundIsProbablySafe),mustFollowSuit,not(isTrumpRound),not(hasWinningCards)
10000;38395;23348;15047;38380;22491;15889;not(hasSinglePlayableCard),not(isStartPosition),partnerHasRound,not(roundIsProbablySafe),not(mustFollowSuit)
10000;8506;6185;2321;8507;6089;2418;not(hasSinglePlayableCard),not(isStartPosition),partnerHasRound,not(roundIsProbablySafe),not(mustFollowSuit),isTrumpRound
10000;31500;18086;13414;31505;17320;14185;not(hasSinglePlayableCard),not(isStartPosition),partnerHasRound,not(roundIsProbablySafe),not(mustFollowSuit),not(isTrumpRound)
10000;4525;2766;1759;4518;2668;1850;not(hasSinglePlayableCard),not(isStartPosition),partnerHasRound,not(roundIsProbablySafe),not(mustFollowSuit),not(isTrumpRound),isColorRoundTrumped
10000;28560;16277;12283;28547;15635;12912;not(hasSinglePlayableCard),not(isStartPosition),partnerHasRound,not(roundIsProbablySafe),not(mustFollowSuit),not(isTrumpRound),not(isColorRoundTrumped)
10000;7148;5431;1717;7151;5400;1751;not(hasSinglePlayableCard),not(isStartPosition),partnerHasRound,not(roundIsProbablySafe),not(mustFollowSuit),not(isTrumpRound),not(isColorRoundTrumped),hasOnlyTrumpCards
10000;6516;5067;1449;6527;5003;1524;not(hasSinglePlayableCard),not(isStartPosition),partnerHasRound,not(roundIsProbablySafe),not(mustFollowSuit),not(isTrumpRound),not(isColorRoundTrumped),hasOnlyTrumpCards,not(roundIsExpensive)
10000;752;440;312;752;455;297;not(hasSinglePlayableCard),not(isStartPosition),partnerHasRound,not(roundIsProbablySafe),not(mustFollowSuit),not(isTrumpRound),not(isColorRoundTrumped),hasOnlyTrumpCards,roundIsExpensive
10000;368;224;144;368;227;141;not(hasSinglePlayableCard),not(isStartPosition),partnerHasRound,not(roundIsProbablySafe),not(mustFollowSuit),not(isTrumpRound),not(isColorRoundTrumped),hasOnlyTrumpCards,roundIsExpensive,hasUnter
10000;384;216;168;384;223;161;not(hasSinglePlayableCard),not(isStartPosition),partnerHasRound,not(roundIsProbablySafe),not(mustFollowSuit),not(isTrumpRound),not(isColorRoundTrumped),hasOnlyTrumpCards,roundIsExpensive,not(hasUnter)
10000;22571;11681;10890;22541;11001;11540;not(hasSinglePlayableCard),not(isStartPosition),partnerHasRound,not(roundIsProbablySafe),not(mustFollowSuit),not(isTrumpRound),not(isColorRoundTrumped),not(hasOnlyTrumpCards)
10000;17872;9694;8178;17866;9119;8747;not(hasSinglePlayableCard),not(isStartPosition),partnerHasRound,not(roundIsProbablySafe),not(mustFollowSuit),not(isTrumpRound),not(isColorRoundTrumped),not(hasOnlyTrumpCards),hasTrumps
10000;15818;8791;7027;15792;8447;7345;not(hasSinglePlayableCard),not(isStartPosition),partnerHasRound,not(roundIsProbablySafe),not(mustFollowSuit),not(isTrumpRound),not(isColorRoundTrumped),not(hasOnlyTrumpCards),hasTrumps,not(roundIsExpensive)
10000;15833;8792;7041;15799;8433;7366;not(hasSinglePlayableCard),not(isStartPosition),partnerHasRound,not(roundIsProbablySafe),not(mustFollowSuit),not(isTrumpRound),not(isColorRoundTrumped),not(hasOnlyTrumpCards),hasTrumps,not(roundIsExpensive),opponentsAreInHinterhand
10000;9030;4861;4169;9036;4646;4390;not(hasSinglePlayableCard),not(isStartPosition),partnerHasRound,not(roundIsProbablySafe),not(mustFollowSuit),not(isTrumpRound),not(isColorRoundTrumped),not(hasOnlyTrumpCards),hasTrumps,not(roundIsExpensive),opponentsAreInHinterhand,isColor10InPlay
10000;5217;2830;2387;5217;2617;2600;not(hasSinglePlayableCard),not(isStartPosition),partnerHasRound,not(roundIsProbablySafe),not(mustFollowSuit),not(isTrumpRound),not(isColorRoundTrumped),not(hasOnlyTrumpCards),hasTrumps,not(roundIsExpensive),opponentsAreInHinterhand,isColor10InPlay,hasUnter
10000;4183;2265;1918;4183;2211;1972;not(hasSinglePlayableCard),not(isStartPosition),partnerHasRound,not(roundIsProbablySafe),not(mustFollowSuit),not(isTrumpRound),not(isColorRoundTrumped),not(hasOnlyTrumpCards),hasTrumps,not(roundIsExpensive),opponentsAreInHinterhand,isColor10InPlay,not(hasUnter)
10000;7316;4248;3068;7311;4136;3175;not(hasSinglePlayableCard),not(isStartPosition),partnerHasRound,not(roundIsProbablySafe),not(mustFollowSuit),not(isTrumpRound),not(isColorRoundTrumped),not(hasOnlyTrumpCards),hasTrumps,not(roundIsExpensive),opponentsAreInHinterhand,not(isColor10InPlay)
10000;2580;1271;1309;2579;1049;1530;not(hasSinglePlayableCard),not(isStartPosition),partnerHasRound,not(roundIsProbablySafe),not(mustFollowSuit),not(isTrumpRound),not(isColorRoundTrumped),not(hasOnlyTrumpCards),hasTrumps,roundIsExpensive
10000;1242;515;727;1240;424;816;not(hasSinglePlayableCard),not(isStartPosition),partnerHasRound,not(roundIsProbablySafe),not(mustFollowSuit),not(isTrumpRound),not(isColorRoundTrumped),not(hasOnlyTrumpCards),hasTrumps,roundIsExpensive,hasUnter
10000;1370;770;600;1370;629;741;not(hasSinglePlayableCard),not(isStartPosition),partnerHasRound,not(roundIsProbablySafe),not(mustFollowSuit),not(isTrumpRound),not(isColorRoundTrumped),not(hasOnlyTrumpCards),hasTrumps,roundIsExpensive,not(hasUnter)
10000;5392;2209;3183;5392;2093;3299;not(hasSinglePlayableCard),not(isStartPosition),partnerHasRound,not(roundIsProbablySafe),not(mustFollowSuit),not(isTrumpRound),not(isColorRoundTrumped),not(hasOnlyTrumpCards),not(hasTrumps)
10000;65164;40777;24387;65183;39268;25915;not(hasSinglePlayableCard),not(isStartPosition),partnerHasRound,roundIsProbablySafe
10000;38884;21832;17052;38831;21379;17452;not(hasSinglePlayableCard),not(isStartPosition),partnerHasRound,roundIsProbablySafe,mustFollowSuit
10000;23691;13494;10197;23671;13141;10530;not(hasSinglePlayableCard),not(isStartPosition),partnerHasRound,roundIsProbablySafe,mustFollowSuit,isTrumpRound
10000;18920;9771;9149;18915;9667;9248;not(hasSinglePlayableCard),not(isStartPosition),partnerHasRound,roundIsProbablySafe,mustFollowSuit,not(isTrumpRound)
10000;16925;9195;7730;16919;9117;7802;not(hasSinglePlayableCard),not(isStartPosition),partnerHasRound,roundIsProbablySafe,mustFollowSuit,not(isTrumpRound),highConfidenceInPotentialPartner
10000;2119;599;1520;2118;570;1548;not(hasSinglePlayableCard),not(isStartPosition),partnerHasRound,roundIsProbablySafe,mustFollowSuit,not(isTrumpRound),not(highConfidenceInPotentialPartner)
10000;36494;25631;10863;36439;24654;11785;not(hasSinglePlayableCard),not(isStartPosition),partnerHasRound,roundIsProbablySafe,not(mustFollowSuit)
10000;4744;3636;1108;4744;3496;1248;not(hasSinglePlayableCard),not(isStartPosition),partnerHasRound,roundIsProbablySafe,not(mustFollowSuit),hasOnlyTrumpCards
10000;3968;3077;891;3965;2997;968;not(hasSinglePlayableCard),not(isStartPosition),partnerHasRound,roundIsProbablySafe,not(mustFollowSuit),hasOnlyTrumpCards,hasLowTrumps
10000;824;560;264;824;535;289;not(hasSinglePlayableCard),not(isStartPosition),partnerHasRound,roundIsProbablySafe,not(mustFollowSuit),hasOnlyTrumpCards,not(hasLowTrumps)
10000;33281;23171;10110;33304;22397;10907;not(hasSinglePlayableCard),not(isStartPosition),partnerHasRound,roundIsProbablySafe,not(mustFollowSuit),not(hasOnlyTrumpCards)
